company,date,description,location,title
Marks and Spencer,2022-04-06,This experience could be gained during placements and internships or through a part or full-time job Graduates (Bachelors / Diploma) in Fashion Design from Fashion institutes like IIFTYou should be able to effectively communicate with customers and understand their needs and offer outfit basis sameAt least one or two years experience in a retail or studio environment,"Pune, Bengaluru, Mumbai (All Areas)",Fashion Stylist
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to Vaishali Rawat @ VR00810265@TechMahindra.com or call/what app 9650155683","Pune, Delhi NCR, Ahmedabad, Bengaluru, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to Saksham Bhardwaj @ SB00839993@TechMahindra.com or call/what app9218561565","Pune, Delhi NCR, Bengaluru, Noida, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to DS00825717@techmahindra.com or call/what app9520883659","Pune, Delhi NCR, Bengaluru, Noida, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
DXC Technology,2022-04-09,"Roles and Responsibilities  1. Expertise on HVR HUB HVR agent installation. 2. HVR HUB repository creation. 3. Understanding of HVR architecture for maintaining high availability on AWS Cloud.4. Setting up different topologies in HVR. 5. Experience in heterogenous database replication setup using HVR. 6. HVR customization to target different schema or transformation in the data or additional columns. 7. Using ADAPTSQL feature in HVR. 8. Must have PostgreSQL experience with HVR.9. Hands on experience on configuration of HVR locations, channels and various actions as per the requirements10. Able to gather and monitor statistics to assess the health of the hubs Experience on HVR maintenance utilities such as Log retention, Journal retention, Error alerts etc.11. Expertise in troubleshooting HVR errors.12. Hands on experience in refresh activity.13. Good knowledge of Oracle, MSSQL, PostgreSQL, DB2 and MySQL  databases.14. Ready to work in 24/7 shifts.15. Good team player.Desired Candidate Profile   If you are interested, then please send us your relevant details along with the updated resume on ikrovvidi@dxc.com  Highest qualification:Total years of exp:Relevant Experience:Current Location: Preferred location:C.CTC:E.CTC:Notice Period:Pancard No:-Available for F2F on:","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Hiring - DBA HVR - DXC Technology - (5-12 Years) - All Locations
DXC Technology,2022-04-09,"Roles and Responsibilities  1. Expertise on HVR HUB HVR agent installation. 2. HVR HUB repository creation. 3. Understanding of HVR architecture for maintaining high availability on AWS Cloud.4. Setting up different topologies in HVR. 5. Experience in heterogenous database replication setup using HVR. 6. HVR customization to target different schema or transformation in the data or additional columns. 7. Using ADAPTSQL feature in HVR. 8. Must have PostgreSQL experience with HVR.9. Hands on experience on configuration of HVR locations, channels and various actions as per the requirements10. Able to gather and monitor statistics to assess the health of the hubs Experience on HVR maintenance utilities such as Log retention, Journal retention, Error alerts etc.11. Expertise in troubleshooting HVR errors.12. Hands on experience in refresh activity.13. Good knowledge of Oracle, MSSQL, PostgreSQL, DB2 and MySQL  databases.14. Ready to work in 24/7 shifts.15. Good team player.Desired Candidate Profile   If you are interested, then please send us your relevant details along with the updated resume on ikrovvidi@dxc.com  Highest qualification:Total years of exp:Relevant Experience:Current Location: Preferred location:C.CTC:E.CTC:Notice Period:Pancard No:-Available for F2F on:","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Hiring - DBA HVR - DXC Technology - (5-12 Years) - All Locations
Patch Infotech Private Limited,2022-04-08,"- Do you like to work remote?- Do you love building beautiful and large-scale mobile applications?- Do you like to play with business logics?- Do you like to build applications that can impact millions of users?If yes, then you are the right fit for this role. Following are the basic skills set that we are looking for this particular position :1. Should be strong in Java andor kotlin fundamentals2. Should be strong in Android concepts3. Should have exposure of newly introduced android components, jetpack libraries etc.4. Good to have exposure of building design patterns5. Good to have exposure in unit testing6. Good to have exposure in MVVM design pattern.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",Android Mobile App Developer - Kotlin / MVVM
Patch Infotech Private Limited,2022-04-08,"- Do you like to write design patterns (e.g. singleton /factory etc.)- Do you like to write codes and motivate others .- Do you like to deal with React hooks (Basic + Advanced).- Do you love to deal with either Redux or context Based APIs.- Do you love to use any language that eventually Complies to java script.If yes then you are the right fit for this role, below are the basic requirement for this job opportunity.1. Should have strong experience on React Native development.2. Should have an idea of finding time complexity of a particular algorithm.3. Should be good in writing maintainable, reusable and scalable code. 4. Should have experience in dealing with react hooks(Basic + Advanced).5. Good to have basic exposure of any native platform like Android or IOS.6. Good to have basic experience in Node Js backend environment .","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",React Native Developer - iOS/Android
Patch Infotech Private Limited,2022-04-08,"- Are you good in writing scalable architectures? - Can you build rest apis or microservices for millions of customers? - Do you want to work and explore latest and world wide niche tech stack?If yes come and join us. We are looking for individuals matching below technical criteria :- Should be strong in data structure and programming skills.- Should be good in writing reusable and clean code- Should be having strong exposure in java, springboot and building rest apis- Should be good in dealing with databases either SQL or NoSQL- Should be an individual contributor and passionate about coding- Should be able to handle spring security paradigms- Should have basic idea of AWS or any other cloud for deployment- Should be strong on multi-threading, OOPS, design patterns.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",Java Backend Engineer - Spring Boot / Microservices Architecture
Tech Mahindra,2022-04-08,"Experience in requirement gathering,designing of solution,user educationVery good understanding on Oracle APPS R12 Finance modules - AP,GL,AR,SLA,FA Experience in development and support projects Experience in Sub Ledger Accounting module","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",TechMahindra Hiring For Oracle EBS Functional consultant (Finance)
Concentrix Catalyst,2022-04-08,We have urgent requirement for AEM Developer(SSE)/AEM Lead / AEM Architect,"Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",AEM Developer/Lead/Architect
Tech Mahindra,2022-04-08,"Job Description - RPA Business Analyst - TELECOM DOMAIN ONLYMandatory Skills - PMP Certification, RPA, Requirement Gathering, Automation Anywhere, UI Path, Telecom DomainLocation - PAN INDIA  On Site Opportunity - Willing to stay and work in OMAN for a year.Roles and Responsibilities - Good language and  communication skillsKnowledge of Telecommunications  industry is MandatoryProofed Project  Management experienceHigh Level knowledge of Telco Systems architectureHigh Level knowledge of Telco Network architectureProofed Business Analysis experience within Systems and Automation  projectsProofed Agile project management experience with successful deliveriesIntelligent Process Automation & RPA experienceGood knowledge of   process improvement tools and methodologies like Six Sigma, lean managementProcess mapping skills  using tools like MS Visio, Smart DrawExperience with data  crunching & depiction tools (MS Excel, Tableau, Power BI)Certifications -   PMP certificationSix Sigma CertificationPerks and Benefits - Getting an On-Site opportunity to work in OMAN for a year","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Rpa Business Analyst - Telecom
Tech Mahindra,2022-04-08,"Job Role:- RPA Business Analyst- Telecom Domain(Mandatory)Location- Pan IndiaPerks and Benefits : Onsite opportunity for a year in OmanMandatory Skills: Bachelors Degree in EngineeringPMP certificationSix Sigma CertificationTMF Business Process Frameworx knowledge is a plus Job Desciption: Good language and communication skillsKnowledge of Telecommunications industry is a mustProofed Project Management experienceHigh Level knowledge of Telco Systems architectureHigh Level knowledge of Telco Network architectureProofed Business Analysis experience within Systems and Automation projectsProofed Agile project management experience with successful deliveriesIntelligent Process Automation & RPA experienceGood knowledge of process improvement tools and methodologies like Six Sigma, lean managementProcess mapping skills using tools like MS Visio, Smart DrawExperience with data crunching & depiction tools (MS Excel, Tableau, Power BI) Roles and Responsibilities Fulfill Business Process demand across the entire organization in   terms of Design and/or re-engineer, review and governanceAnalyze Business Process related requirements, along with   consideration of its relevant supporting data and tracking recordsIdentify pain areas, opportunities of improvement, in terms of time   reduction, cost saving, waste elimination, without compromising qualitySuggest opportunities for automation based on brainstorming discussions   with unit SPOCs, stakeholders and available Business Process Repository   information Manage regular business   process review, aiming to ensure compliance between what is   documented/maintained and what is being practiced in realityRegularly look for Business   Process bottlenecks, impediments and areas of improvement, then find ways to   tackle those deficiencies aiming to meet expected service level requirementsEnsure consistent Business   Process adherence along with expected service level outcomesEnsures prevailing practices   alignment with best-in-class / up-to-date industry standards, regulations and   practicesRegularly drive Business   Process Governance initiatives, with reference to its established Quality   Metrics, to ensure sustainable process performance Adhere to Center of   Excellence  Business Process FrameworkBuild robust and well   supported Business Process Automation business cases along with ROI   considerationConvey clear understanding   of Business Process automation requirement to concerned technical teams / vendorsDesign and report   performance dashboards, depicting governance findings and performance issues","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",RPA BA- Telecom
company,date,description,location,title
Bajaj Finserv,2022-04-08," Duties and Responsibilities -    To achieve Debt Management Services targets of the Respective Branch assigned, ensuring meeting PI Targets. Meeting the Target on Cost of Debt Management Services. Ensuring meeting PI Targets within cost limit specified on monthly basis. Ensuring legal guidelines are complied for entire Debt Management Services structure in letter and sprits.    Ensure that the Debt Management Services agencies and executives adhere to the legal guidelines provided by the law in force. Ensure adherence to the Code of Conduct. Continuously monitoring Debt Management Services agencies and Debt Management Services executives to identify fraudulent practices and ensure that no loss is incurred due to such activities.   

People Management skills. Demonstrated success & achievement orientation. Excellent communication skills. Negotiation Skills Strong bias for action & driving results in a high performance environment. Demonstrated ability to lead from the front. Excellent relationship skills. Affirmative in nature, Strong Leadership Skills, Clarity of thought and perseverance.. Exceptionally high motivational levels and needs to be a self starter. Working knowledge of computers.  ","Chennai, Pune, Delhi, Mumbai, Bengaluru, Hyderabad",Executive - Debt Management Services - Rural
Citicorp Services India Pvt Ltd  /Citibank -Chennai,2022-04-08," The Enterprise Operations and Technology (EO&T) Third Party Utility (TPU)provides operational support, process guidance, and quality assurance and quality control oversight to businesses across Citi, leveraging a central utility infrastructure, standardized processes and operating procedures in order to execute robust risk management activities throughout the third party management life cycle.The Third Party Risk Analyst II will be responsible for executing day-to-day activities in support of Citis Third Party Management Program, including the implementation of key, standardized processes related to compliance with Citis policies and standards; guiding internal stakeholders; Strong communication and diplomacy skills is required. Completion of activities related to Third Party lifecycle; and ensuring data accuracy for the reporting of third-party related metrics.The analyst is expected to understand Third Party Life Cycle Management process in detail and ensure the associated risks are mitigated in line with Citi requirement for suppliers.Responsibilities:Demonstrate Strong knowledge about Third Party Lifecycle Management, Regulatory guidelines Contract Terms & conditions, Information Security, Regulations (OCC, GDPR, Data Privacy Laws, and Country specific Local Laws etc.)Providing process guidance and support to Third Party Officers (TPOs), Business Activity Owners (BAOs) and other business stakeholders on end-to-end Third Party Management requirements and set up periodical review meeting with all the stakeholders.Facilitating and coordinating with various Policy Owners in areas such as Data Privacy, Export Licensing, Information Security and Continuity of Business (CoB)Act as Level 1 Reviewer in the team and understand the nuances of the Third Party Management process in detail. Participates in team meetings to analyze documentation and processes to ensure risks and control points are properly addressed.Assists management group in gathering data and information for supervisors reporting and to take ownership of specified projects and tasks.Verify if third parties’ policies and procedures are complaint to Citi’s policies and procedures. Identify and report gaps if any, to senior management.Identify opportunities for better control and productivity enhancement through various process reengineering initiatives and automation projects including but not limited to Robotic Process Automations.Analyzing the data and forecast trends with respect to inherent risk associated with third parties and build controls to mitigate such risksWork with Operations standards team to identify the process gaps and take measures in mitigating the same.Work with seniors as appropriate on data related for Internal and external Auditors and ensure timely and accurate submission of all deliverables and ensure that all comments are addressed, observations are reported correctly and corrective action is taken accordinglyInitiate process changes in line with new emerging risks and regulatory requirements.Strong organization skills with proven ability to successfully manage multiple prioritiesDetail oriented with strong problem solving and analytical skillsExcellent relationship management skills with ability to build partnerships across Citi businessesStrong risk, process and project management skills with proven ability to influence and drive results across a diverse team of stakeholdersProven ability to interact effectively with diverse cultures and backgroundsDesired Candidate Profile Qualifications:Minimum 6+ years of working experience in financial services / Banking industryProfessional Qualification preferably CA fresher’sExcellent Communication skillsGood excel skillsEducation:Bachelor’s degree required.Professional Qualification – CA preferredRoles and Responsibilities Perks and Benefits ","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Operational Risk Analyst -CA Preferable
Tech Mahindra,2022-04-09,"Day shift till training,rotational shift after training Should have basic understanding of Networking,","Chennai, Pune, Delhi NCR, Bengaluru, Chandigarh, Gurgaon, Noida, Kolkata, Mumbai (All Areas)",Hiring Alert||Technical Support||Techmahindra||Excellent communication
Mankind Pharma,2022-04-07,"Qualification: Must be Medical Graduate (BAMS,BDS,BUMS,BHMS - *Mandate anyone) Experience : 06-1 year - Relevant experience of MSL functions from leading companies,like Sun Pharma,Cipla,GSK,Novartis,Bayer,BMS,AstraZeneca etc","Chennai, Pune, Ahmedabad, Bengaluru, Kochi, Kolkata, Mumbai (All Areas)",Medical Science Liaison (MSL)/ Regional Medical Advisor-Metro Cities
Teleperformance,2022-04-04,"Roles and Responsibilities :Manage large amounts of incoming phone callsGenerate sales leadsIdentify and assess customers needs to achieve satisfactionBuild sustainable relationships and trust with customer accounts through open and interactive communicationProvide accurate, valid and complete information by using the right methods/toolsMeet personal/customer service team sales targets and call handling quotasHandle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolutionKeep records of customer interactions, process customer accounts and file documentsFollow communication procedures, guidelines and policiesTake the extra mile to engage customersDesired Candidate Profile :Proven customer support experience or experience as a Client Service RepresentativeTrack record of over-achieving quotaStrong phone contact handling skills and active listeningFamiliarity with CRM systems and practicesCustomer orientation and ability to adapt/respond to different types of charactersExcellent communication and presentation skillsAbility to multi-task, prioritize, and manage time effectively  * Please WhatsApp Below mentioned details,Name -Language -Primary contact Number -Alternate number -Date of Birth -Educational qualification -Email id -Internet status (wifi/Dongle/Broadband) -System Make -Laptop company name -Window ( windows 10 & above operating system ) -RAM (Minimum 4 GB RAM) -Processor name - (minimum i3 processor) -Processor Speed-FNF closed from previous company -Current location -Hometown -Interview Details :Contact Person: Priyanka KashyapContact Number : 8368659264This hiring is for all over India , we can hire freshers and experience candidate as well.This job will be permanent work from home.System and laptop with internet connection is mandatory(candidate should have this ready )","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Permanent Work from Home For *inbound process All Over India*
Teleperformance,2022-04-08,"Job DescriptionPermanent Work from Home.Rotational Shift Rotational Week off6 working Days 1 week off.Both Fresher and Experienced can Apply.Roles and ResponsibilitiesInbound Call by Customer and solve queries, register complaints.Proactively keeps up to date on new procedures.Complete understanding of the platform and process.Complete ability and empowerment to provide end to end resolution (including online and offline if required)Complete responsibility of a customer interaction, including liaising with other team members for resolution and follow through (if applicable)Deliver targeted results measured by customer satisfaction, end to end process effectiveness, efficiency and qualityDesired Candidate ProfileExcellent Communication skills in ENGLISH & HINDI/ TAMIL /KannadaQualification - Minimum 12th can applyMust have the below for applying -Personal Desktop with active webcam/ LaptopInternet connection Broadband or Dongle with minimum 10 Mbps SpeedOperating System - Windows 10 and aboveSystem RAM 4GBMinimum i3 or AMD Ryzen_3 and more.Processor Speed - Should be 2.0 GHz and morePermanent WFHWHATSAPP YOUR DETAILS TO : HR SARA 6292238499Please share your resume in Whatsapp with below details.Name:Contact No:Location:DOB:System Type:System Brand:Windows Version:Processor Name:Processor Speed:RAM:LANGUAGES FLUENT IN :Internet Connection Type(Wifi/Broadband):Internet Brand:RoleRole Customer Success Associate Industry Type BPO / Call Centre Functional Area Customer Success, Service & Operations Employment Type Full Time, Permanent Role Category Customer Success Education UG :Graduation Not Required","Chennai, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Customer Service Associate
WhitehatJr Pvt Ltd,2022-04-06," About the role :Were seeking qualified BDEs to Pitch Whitehat Jrs product and to book free trial classes for Students. The BDE will utilize their skills to generate high-quality leads and build a strong relationship with customers. The ideal candidate will be a quick learner with strong negotiating skills and demonstrate the ability to showcase our offerings compellingly. The role involves going on field activities generating Leads, Registering Leads, booking Trail Sots for the leads registered. Role detailsScope: Exceed targets for Lead Generation in an individual contributor role. Work Location: Mumbai, NCR, Pune and Bengaluru Working days: 6 working days with weekly off during the week. This is based on the rostering. Saturday and Sunday will be working. Shifts (subject to change): shift start hour will be after 9 AM and shift end hour before 10 PM (9 hour shift) Mandatory Language Fluency: English, Hindi  Additional Allowances: Travel Reimbursement (Fixed at 2000 INR per month - Prorated) + attractive Incentives.  Job Role :  Responsible for generating quality Enquiries/Leads through on-ground promotional events and activities  Interacting with customers viz a viz parents and understanding their concerns about their childs education  Pitch them about WhiteHat Jrs Product and convince them to book for a free trial class Drive the campaign through lead generation and proper target alignment  Ensuring proper collateral setup on the given asset location  Responsible for overall campaign management Qualifications Overall experience must not be more than 0-3 years.  Fluency in English and Hindi, ability and willingness to deliver in a high-pressure environment  Excellent communication, interpersonal, problem-solving, presentation, and organizational skills.  Ability to counsel a parent for the child's future  Comfortable with changing shift timings so that we may serve our customers better Comfortable with exceeding work timing based on process need.  Graduation or 2 years diploma with 12th pass ","Pune, Delhi NCR, Bengaluru, Mumbai (All Areas)",Field Sales Executive (Mumbai/Pune/Delhi/Bengaluru locations)
Marks and Spencer,2022-04-06,This experience could be gained during placements and internships or through a part or full-time job Graduates (Bachelors / Diploma) in Fashion Design from Fashion institutes like IIFTYou should be able to effectively communicate with customers and understand their needs and offer outfit basis sameAt least one or two years experience in a retail or studio environment,"Pune, Bengaluru, Mumbai (All Areas)",Fashion Stylist
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to Vaishali Rawat @ VR00810265@TechMahindra.com or call/what app 9650155683","Pune, Delhi NCR, Ahmedabad, Bengaluru, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to Saksham Bhardwaj @ SB00839993@TechMahindra.com or call/what app9218561565","Pune, Delhi NCR, Bengaluru, Noida, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
Tech Mahindra,2022-04-05," Job descriptionWe are currently having openings in our Voice Process 100% work from home.Designation-Customer Support Associate (CSA).Job Profile-Have to resolute customers query Voice CallMandatory Criteria-Min HS Passed.Fresher & Experience both can applyExcellent verbal communication skill in English & Hindi without major MTI for Voice processMust have Laptop/Desktop enabled with original version of windows 10 and connected through Broadband/Wi-Fi. Must have active antivirusCustomer orientation.Ready to work in 24/7 ShiftsNo planned leave for upcoming 3 month after joining9 hour of the day, 8 hrs. work and 1 hour breakShould have a typing speed of 25WPM with 90% accuracyInterview Structure-HR round - General check. - Video CallOPS round General Check - Video CallClient Round Video CallPayoutsSalary for Fresher  1.77 LPASalary for minimum 1 Year (BPO) experience candidate  2.17 LPADocuments Required Education Mark sheetsAadhar CardPan CardInterested candidates need to share cv to DS00825717@techmahindra.com or call/what app9520883659","Pune, Delhi NCR, Bengaluru, Noida, Kolkata, Mumbai (All Areas)",Tech Mahindra Noida Hiring - Work from Home - Voice Process
DXC Technology,2022-04-09,"Roles and Responsibilities  1. Expertise on HVR HUB HVR agent installation. 2. HVR HUB repository creation. 3. Understanding of HVR architecture for maintaining high availability on AWS Cloud.4. Setting up different topologies in HVR. 5. Experience in heterogenous database replication setup using HVR. 6. HVR customization to target different schema or transformation in the data or additional columns. 7. Using ADAPTSQL feature in HVR. 8. Must have PostgreSQL experience with HVR.9. Hands on experience on configuration of HVR locations, channels and various actions as per the requirements10. Able to gather and monitor statistics to assess the health of the hubs Experience on HVR maintenance utilities such as Log retention, Journal retention, Error alerts etc.11. Expertise in troubleshooting HVR errors.12. Hands on experience in refresh activity.13. Good knowledge of Oracle, MSSQL, PostgreSQL, DB2 and MySQL  databases.14. Ready to work in 24/7 shifts.15. Good team player.Desired Candidate Profile   If you are interested, then please send us your relevant details along with the updated resume on ikrovvidi@dxc.com  Highest qualification:Total years of exp:Relevant Experience:Current Location: Preferred location:C.CTC:E.CTC:Notice Period:Pancard No:-Available for F2F on:","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Hiring - DBA HVR - DXC Technology - (5-12 Years) - All Locations
DXC Technology,2022-04-09,"Roles and Responsibilities  1. Expertise on HVR HUB HVR agent installation. 2. HVR HUB repository creation. 3. Understanding of HVR architecture for maintaining high availability on AWS Cloud.4. Setting up different topologies in HVR. 5. Experience in heterogenous database replication setup using HVR. 6. HVR customization to target different schema or transformation in the data or additional columns. 7. Using ADAPTSQL feature in HVR. 8. Must have PostgreSQL experience with HVR.9. Hands on experience on configuration of HVR locations, channels and various actions as per the requirements10. Able to gather and monitor statistics to assess the health of the hubs Experience on HVR maintenance utilities such as Log retention, Journal retention, Error alerts etc.11. Expertise in troubleshooting HVR errors.12. Hands on experience in refresh activity.13. Good knowledge of Oracle, MSSQL, PostgreSQL, DB2 and MySQL  databases.14. Ready to work in 24/7 shifts.15. Good team player.Desired Candidate Profile   If you are interested, then please send us your relevant details along with the updated resume on ikrovvidi@dxc.com  Highest qualification:Total years of exp:Relevant Experience:Current Location: Preferred location:C.CTC:E.CTC:Notice Period:Pancard No:-Available for F2F on:","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Hiring - DBA HVR - DXC Technology - (5-12 Years) - All Locations
Patch Infotech Private Limited,2022-04-08,"- Do you like to work remote?- Do you love building beautiful and large-scale mobile applications?- Do you like to play with business logics?- Do you like to build applications that can impact millions of users?If yes, then you are the right fit for this role. Following are the basic skills set that we are looking for this particular position :1. Should be strong in Java andor kotlin fundamentals2. Should be strong in Android concepts3. Should have exposure of newly introduced android components, jetpack libraries etc.4. Good to have exposure of building design patterns5. Good to have exposure in unit testing6. Good to have exposure in MVVM design pattern.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",Android Mobile App Developer - Kotlin / MVVM
Patch Infotech Private Limited,2022-04-08,"- Do you like to write design patterns (e.g. singleton /factory etc.)- Do you like to write codes and motivate others .- Do you like to deal with React hooks (Basic + Advanced).- Do you love to deal with either Redux or context Based APIs.- Do you love to use any language that eventually Complies to java script.If yes then you are the right fit for this role, below are the basic requirement for this job opportunity.1. Should have strong experience on React Native development.2. Should have an idea of finding time complexity of a particular algorithm.3. Should be good in writing maintainable, reusable and scalable code. 4. Should have experience in dealing with react hooks(Basic + Advanced).5. Good to have basic exposure of any native platform like Android or IOS.6. Good to have basic experience in Node Js backend environment .","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",React Native Developer - iOS/Android
Patch Infotech Private Limited,2022-04-08,"- Are you good in writing scalable architectures? - Can you build rest apis or microservices for millions of customers? - Do you want to work and explore latest and world wide niche tech stack?If yes come and join us. We are looking for individuals matching below technical criteria :- Should be strong in data structure and programming skills.- Should be good in writing reusable and clean code- Should be having strong exposure in java, springboot and building rest apis- Should be good in dealing with databases either SQL or NoSQL- Should be an individual contributor and passionate about coding- Should be able to handle spring security paradigms- Should have basic idea of AWS or any other cloud for deployment- Should be strong on multi-threading, OOPS, design patterns.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",Java Backend Engineer - Spring Boot / Microservices Architecture
Tech Mahindra,2022-04-08,"Experience in requirement gathering,designing of solution,user educationVery good understanding on Oracle APPS R12 Finance modules - AP,GL,AR,SLA,FA Experience in development and support projects Experience in Sub Ledger Accounting module","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",TechMahindra Hiring For Oracle EBS Functional consultant (Finance)
Concentrix Catalyst,2022-04-08,We have urgent requirement for AEM Developer(SSE)/AEM Lead / AEM Architect,"Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",AEM Developer/Lead/Architect
